标的,资产编号,交易场所,市场类型,精确合约,数据对象,主研究尺度,事后结果观察窗口,时间范围,最终状态,尺度证据状态,门1来源身份,门2时间与质量合同,门3质量审计,门4历史重放,门5成本与执行,门6血缘,是否合格,拒绝原因,成员指纹
BTC,DS-000006,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,f4a8a202fda5ff33b3ac40419255e9b6ee03fa2bf680af9bb73f8c3bba54ba7b
BTC,DS-000006,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,136623e3e61c72f581eb9a48ad926104241b7c00ae33b1402d67359384df35a9
BTC,DS-000006,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,738c2283f2301dadb734d590393fea3508bbf7a967aaeb2a461d768f86fd9e54
BTC,DS-000007,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,6c7e4c06a34a90e9f82357f3e587476bc4a4a738fd65b73d9e28f3ec5bd22284
BTC,DS-000007,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,621d56c546072b11885e92f0fda73c427846316e322214295150993f50fa8199
BTC,DS-000007,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,7b9d3b7b4051487a70ffc11d82c319f0279401235a589fc8ae3f69015ab10128
BTC,DS-000007,未知,未知,未知,未知,48小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,784fdc378c3033d98d62d8afda5c9680121dbf23e84ec5205bd2b6ca7f67542d
BTC,DS-000008,未知,未知,未知,未知,4小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,4a0af4962f1e6190587c8d2c8cf14a63e558721536a118077eed89df585e8294
BTC,DS-000008,未知,未知,未知,未知,8小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,729371571a3af30ec410f80da193a897dc0a5b013483177c938232d67d8476b0
BTC,DS-000008,未知,未知,未知,未知,24小时,"[""15分钟"",""1小时""]",无法判定,无法判定,重放=无法判定;成本=无法判定,无法判定,无法判定,无法判定,无法判定,无法判定,通过,否,交易场所未知；市场类型未知；精确合约未知；数据对象未知；尺度证据未通过；最终状态=无法判定不允许；门1来源身份=无法判定；门2时间与质量合同=无法判定；门3质量审计=无法判定；门4历史重放=无法判定；门5成本与执行=无法判定,76789f24a3ab3828558dcdfeaf7422a80d46ca2874827aa46b833be731e438df
